CHILD;PARENT
L04AX03;L04AX
L04AC07;L04AC
N05AB03;N05AB
N04BC01;N04BC
N04BB01;N04BB
N04BB;N04B
N04BA02;N04BA
N04AB02;N04AB
N04AA01;N04AA
N04AA;N04A
N03AX16;N03AX
N02CA52;N02CA
N02CA01;N02CA
N02BE51;N02BE
N02BA51;N02BA
N02BA01;N02BA
N02AC54;N02AC
N02AA03;N02AA
N01BB03;N01BB
M03BC01;M03BC
M03BC;M03B
M03AC04;M03AC
M01AC06;M01AC
M01AC;M01A
M01AC01;M01AC
L04AB04;L04AB
L04AB02;L04AB
L04AA10;L04AA
L03AX16;L03AX
L03AA09;L03AA
L03AA;L03A
L03AA02;L03AA
L02BX02;L02BX
L01XX08;L01XX
L01XA02;L01XA
S01ED02;S01ED
S01EA05;S01EA
S01EA;S01E
S01BC11;S01BC
S01AA12;S01AA
L04AB01;L04AB
L03AB11;L03AB
L03AB10;L03AB
L03AB09;L03AB
L03AA13;L03AA
L02BG03;L02BG
L02AB02;L02AB
L01XX27;L01XX
L01XX23;L01XX
L01XD01;L01XD
L01XD;L01X
L01XA01;L01XA
L01DC03;L01DC
S01ED01;S01ED
S01EC05;S01EC
S01EC04;S01EC
S01EA02;S01EA
S01BA04;S01BA
S01AD02;S01AD
S01AA30;S01AA
S01AA18;S01AA
S01AA17;S01AA
S01AA11;S01AA
R06AX26;R06AX
L01CD03;L01CD
S01EA03;S01EA
S01CB02;S01CB
S01CA01;S01CA
S01BC05;S01BC
S01BC03;S01BC
S01BA07;S01BA
S01BA01;S01BA
S01AA26;S01AA
S01AA03;S01AA
R06AB04;R06AB
R05FB02;R05FB
R05FB;R05F
R05F;R05
R05CA03;R05CA
R03BC01;R03BC
R03BC;R03B
R03BB01;R03BB
R03BA07;R03BA
R03BA03;R03BA
R05CB13;R05CB
R05CB;R05C
R03DX07;R03DX
R03DX;R03D
R03BA06;R03BA
R03AK06;R03AK
R01AX30;R01AX
R01AX;R01A
J05AR06;J05AR
J05AG01;J05AG
J05AF10;J05AF
J05AB09;J05AB
J04AK01;J04AK
J04AK;J04A
J04AB01;J04AB
J02AB02;J02AB
J02AB;J02A
J01GB03;J01GB
J01GA02;J01GA
J01GA;J01G
J01FA09;J01FA
