clinical_drug_form,ingredient
1433872,1433868
204569,5666
485209,400008
371342,2194
1869534,614373
373198,7804
377924,34347
995191,34347
372731,6676
1870402,36676
1090557,7617
385094,7804
370611,1191
376574,34347
370614,1191
1670052,8834
1293734,39954
373199,7804
485495,89013
727994,36676
370491,39954
1794567,4850
374456,3992
374372,3992
377980,4850
1661387,3992
801480,4850
376937,4850
1809089,10114
993855,623400
809986,623400
370509,161
370635,5487
1803956,161
374114,10528
374036,37801
379486,85248
238142,161
700516,593411
377935,37801
370641,161
369097,161
371247,214354
373225,11002
373199,161
370506,161
854976,854940
373644,161
1658469,854940
371676,3041
800562,10524
373244,7934
636214,16521
372377,5093
373043,7315
1086771,1086769
378966,86009
378841,86009
1734083,35780
1658035,830464
374330,114970
1670052,1441688
370653,3423
485535,306266
1724207,3423
858047,679314
1724190,3423
485433,306266
876076,114202
370654,3423
373287,8013
1725058,7242
798476,798361
1806907,15657
790322,134547
1736584,42736
378154,689
1657681,797752
371968,3642
798425,797752
1869278,448
485799,2002
829970,797752
727348,7242
855811,613391
373058,7396
1655915,993449
562250,723
376533,36387
370754,2670
371681,3102
371613,2670
1863604,8591
385025,236719
1659130,37617
152997,8591
371805,3356
1867543,8591
373522,8591
1870185,8591
800984,8591
1861716,8591
372547,35827
801450,8591
1427036,1303851
1870402,9863
1658225,29501
876076,9863
