CHILD;PARENT
LP30927-5;LP16873-9
10378-8;LP393447-0
LP393447-0;LP14574-5
LP14574-5;LP183519-0
10346-5;LP393561-8
LP393561-8;LP14554-7
LP14554-7;LP31617-1
LP31617-1;LP30786-5
4552-6;LP393568-3
LP393568-3;LP286153-4
LP286153-4;LP14451-6
LP14451-6;LP14554-7
9749-3;LP393573-3
LP393573-3;LP16428-2
LP16428-2;LP31617-1
4561-7;LP393606-1
LP393606-1;LP286161-7
LP286161-7;LP16420-9
LP16420-9;LP31618-9
LP31618-9;LP30786-5
4622-7;LP393656-6
LP393656-6;LP16455-5
LP16455-5;LP31618-9
4542-7;LP393679-8
LP393679-8;LP16411-8
LP16411-8;LP30925-9
LP30925-9;LP30786-5
4659-9;LP393833-1
LP393833-1;LP16478-7
LP16478-7;LP30865-7
LP30865-7;LP7803-2
3173-2;LP393943-8
LP393943-8;LP15957-1
LP15957-1;LP31624-7
LP31624-7;LP7788-5
LP7788-5;LP29693-6
48065-7;LP394015-4
LP394015-4;LP62099-4
LP62099-4;LP15987-8
LP15987-8;LP21409-5
LP21409-5;LP31624-7
3255-7;LP394019-6
LP394019-6;LP14704-8
LP14704-8;LP31624-7
50008-2;LP394039-4
LP394039-4;LP65093-4
LP65093-4;LP31624-7
5902-2;LP394044-4
LP394044-4;LP16870-5
LP16870-5;LP31624-7
6301-6;LP394061-8
LP394061-8;LP17102-2
LP17102-2;LP16870-5
3193-0;LP394164-0
LP394164-0;LP174022-6
LP174022-6;LP15964-7
LP15964-7;LP31623-9
LP31623-9;LP7788-5
3198-9;LP394171-5
LP394171-5;LP174023-4
LP174023-4;LP15966-2
LP15966-2;LP31623-9
3209-4;LP394182-2
LP394182-2;LP174024-2
LP174024-2;LP14702-2
LP14702-2;LP31623-9
3188-0;LP394189-7
LP394189-7;LP32955-4
LP32955-4;LP15961-3
LP15961-3;LP31623-9
3218-5;LP394196-2
LP394196-2;LP174025-9
LP174025-9;LP15973-8
LP15973-8;LP31623-9
3226-8;LP394206-9
LP394206-9;LP228102-2
LP228102-2;LP32960-4
LP32960-4;LP15977-9
LP15977-9;LP31623-9
3232-6;LP394212-7
LP394212-7;LP228104-8
LP228104-8;LP32961-2
LP32961-2;LP15979-5
LP15979-5;LP31623-9
3240-9;LP394219-2
LP394219-2;LP15982-9
LP15982-9;LP14703-0
LP14703-0;LP31623-9
6012-9;LP394233-3
LP394233-3;LP40156-9
LP40156-9;LP16906-7
LP16906-7;LP31623-9
6014-5;LP394247-3
LP394247-3;LP174102-6
LP174102-6;LP16908-3
LP16908-3;LP16329-2
LP16329-2;LP16906-7
24377-4;LP394271-3
LP394271-3;LP16892-9
LP16892-9;LP29282-8
LP29282-8;LP31621-3
LP31621-3;LP7788-5
24381-6;LP394277-0
LP394277-0;LP16893-7
LP16893-7;LP29282-8
24379-0;LP394283-8
LP394283-8;LP16895-2
LP16895-2;LP29282-8
24378-2;LP394288-7
LP394288-7;LP16896-0
LP16896-0;LP29282-8
24380-8;LP394294-5
LP394294-5;LP16898-6
LP16898-6;LP29282-8
3289-6;LP394419-8
LP394419-8;LP229409-0
LP229409-0;LP16011-6
LP16011-6;LP16010-8
LP16010-8;LP7788-5
5942-8;LP394428-9
LP394428-9;LP394429-7
LP394429-7;LP16880-4
LP16880-4;LP7788-5
8122-4;LP399355-9
LP399355-9;LP14442-5
LP14442-5;LP32944-8
LP32944-8;LP7783-6
LP7783-6;LP29693-6
8124-0;LP399367-4
LP399367-4;LP285415-8
LP285415-8;LP14442-5
9559-6;LP399389-8
LP399389-8;LP17735-9
LP17735-9;LP32944-8
8132-3;LP399394-8
LP399394-8;LP285547-8
LP285547-8;LP17735-9
8115-8;LP399530-7
LP399530-7;LP285324-2
LP285324-2;LP17745-8
LP17745-8;LP32944-8
17828-5;LP399531-5
LP399531-5;LP285324-2
26560-3;LP399532-3
LP399532-3;LP285324-2
8116-6;LP399545-5
LP399545-5;LP17749-0
LP17749-0;LP32944-8
8117-4;LP399558-8
LP399558-8;LP285334-1
LP285334-1;LP17749-0
9558-8;LP399566-1
LP399566-1;LP17751-6
LP17751-6;LP32944-8
8119-0;LP399574-5
LP399574-5;LP285360-6
LP285360-6;LP17751-6
57418-6;LP399575-2
LP399575-2;LP285360-6
20595-5;LP399576-0
LP399576-0;LP285360-6
14017-8;LP399593-5
LP399593-5;LP285371-3
LP285371-3;LP18515-4
LP18515-4;LP32944-8
42875-5;LP399594-3
LP399594-3;LP285371-3
20596-3;LP399595-0
LP399595-0;LP285371-3
8121-6;LP399621-4
LP399621-4;LP285380-4
LP285380-4;LP17753-2
LP17753-2;LP32944-8
51271-5;LP399622-2
